userName,score,at,content
Yanuar Bonsai,5,2024-08-20 14:08:02,good
keyla cafe,5,2024-08-20 12:25:13,mantaaap
Andi Taslim,5,2024-08-20 12:21:03,Biar bintang yg bicara
Papa Lopa,2,2024-08-20 12:19:17,Baru aktifin blibli paylater tapi di tolak kenapa ya padahal ga punya tagihan di apk lain. Kalo nanti di coba lagi aktifin blibli paylater nya di acc baru saya kasi bintang 5
Muhammad Andi Garcia,5,2024-08-20 12:01:45,good
Muhammad Suraji,5,2024-08-20 09:46:02,"Proses pengembalian limit krt krdt sy berhasil dalam 2 hr kerja ( estimasi 5-10 hr ), terima kasih blibli saya jd bisa belanja kembali"
Wildan yus,1,2024-08-20 09:04:17,Kocak kocak jangan pernah install aplikasi ini pokoknya
guest 1,5,2024-08-20 07:46:01,banyak promo
Jonsi Jonsi,5,2024-08-20 07:12:22,mantap
yoyok siken,4,2024-08-20 05:38:54,mantab betul
Dedy Farizal5,3,2024-08-20 05:19:42,Ok.. Dicoba Diakses Bagus Dinyatakan Kurang Episien Tambahkan Sidik Jari & Hapus Cache Sampah Tidak / Bukan Hapus Akun.. Kan Malah Keluar Aplikasi Tolong Perbaharui Lagi..
putra siswoyo,5,2024-08-20 05:18:05,belanja dan ongkir mudah dan murah
MuhammadRijaluddinMujahid,5,2024-08-20 03:10:33,Alhamdulillah Thanks very much to All Team of Blibli for your money gift...
rendy Agustus02,1,2024-08-20 02:44:21,"Ini gimana saldo saya belum kembali perihal pembatalan pesanan🤦‍♂️ apk pembelian parah d apk sebelah klo membatalkan pesanan saldo langsung d kembalikan lah ini sampe sekarang ga d kembalilan kembalikan,, 😡😡😡😡😡 udah chat pengaduan masih tetep aja saldo ga d kembalikan parah blibli bukan nya d bantu saya malah d acuh kan chat saya juga d abaikan,, tim blibli ga bertanggung jawab sekali atas keluhan yang saya laporkan😡"
Hilman Gipari,5,2024-08-20 02:39:33,mantap benar
yandy suhendra,5,2024-08-20 02:36:25,ok
SUGIYANTI,5,2024-08-20 01:35:23,LANCAR DAN MUDAH
Agus Darmadi,5,2024-08-20 01:12:57,good
Adi Setiawan,5,2024-08-19 21:42:50,"Sukses Terus untuk Blibli, Terimakasih"
