userName,score,at,content
Marini 5,4,2024-03-28 13:41:18,"berguna banget buat ngebisnis,walaupun keamanan sudah di upgrade tapi tetap sama saja, dana bisa kena bobol,saldo sering ilang, tolong dana upgrade lg, jaringan bagus tp pas login katanya ga ada jaringan,padahal paketnya jg masih ada.."
Adam Gongli,1,2024-03-28 13:41:18,Jangan dwonload apk dana uang saya raib 275rb padahal buat berobat anak saya apk penipu
Budi Jeko,5,2024-03-28 13:39:07,"mantap, cepat..bisa di andalkan.."
Amry Nasabe,5,2024-03-28 13:38:45,Ok
Sutresno AZZA,5,2024-03-28 13:38:31,Ok
Ali Mahendra,1,2024-03-28 13:37:56,"Tolong dong pihak dana ini saya mau melakukan transaksi ga bisa karena eror masalah jaringan padahal jaringan saya bagus, Suruh update terus tapi tetep aja sama"
Venny Tri,5,2024-03-28 13:37:11,sipp puas
Rian Aripin,5,2024-03-28 13:35:07,mantap
Djas Husami,5,2024-03-28 13:33:28,Aangat menarik
muh jalil,5,2024-03-28 13:32:39,baik
valeria susana maria,5,2024-03-28 13:32:37,Good
Mukhrifan Rifan,5,2024-03-28 13:32:10,semoga selalu lancar dan mudah oprasionalnya
Malika Photowork,1,2024-03-28 13:31:30,Ribet...
willyam doppert,5,2024-03-28 13:30:28,👍
Nopri Robi,5,2024-03-28 13:29:54,Bagus
Hari Yanto,5,2024-03-28 13:27:28,selamat menunaikan ibadah puasa
Ganda,5,2024-03-28 13:26:47,saya suka
Siti Nurhaliza,5,2024-03-28 13:26:09,sangat bagus😎👍👍👍
Supria Antini,5,2024-03-28 13:26:01,puas
Arya Tama,3,2024-03-28 13:25:34,"mantap,,"
Sidik Ips,5,2024-03-28 13:24:54,Bagus
Aabhill 413,3,2024-03-28 13:24:27,Menurutku Aplikasi Ini BerGuna Tapi Sering Kali Saya Mendapatkan Kendala Saat Memakai Aplikasi Ini Nggk Tau Kenapa Saat Masuk Ke Aplikasi Dana Koneksi internet ku selalu terputus Dan tidak bisa Melakukan Apa pun Tanpa Terkecuali Harus Menggunakan Wifi Untuk Menggunakan aplikasi tersebut Dan Membuat Saya Kewalahan Harus Meminta Wifi Kepada Orang Kalo Mau Melakukan Transaksi
Albedt Simanungkalit.03,5,2024-03-28 13:22:49,baik
Albert Oktavianto,1,2024-03-28 13:22:35,"saya top up, gara2 kemaren tgl 27/03*2024, dana sdg gangguan masa sdh 24 jam saldo gk masuk2"
nana Kirana,4,2024-03-28 13:21:43,ok
Azil Mubarok,1,2024-03-28 13:21:33,"Mau kirim 500 ribu gagal terus, tolong gimana sistem nya ni dana, mau kirim 300 ribu juga tetap gagal, kecewa sih makin kesini makin gajelas aplikasinya."
Amel Lia,5,2024-03-28 13:21:28,Bagus mudahhh sukses
Igun azhar,5,2024-03-28 13:21:23,ok gass oke gass
Qisya Shazia,5,2024-03-28 13:18:20,sangat membantu
EMBUN PAGI YANG INDAH,1,2024-03-28 13:17:42,Aplikasi.... Tol....parah. yg bener aja selalu eror lagi dan lagi.
WaOne kps,5,2024-03-28 13:16:36,sampe saat ini sangat memuaskan
Renaldy Mahendratama,1,2024-03-28 13:16:09,dana sekarang sudah tidak aman.. buat nyimpen uang
