userName,score,at,content
Sandi Songgi,5,2024-07-31 07:16:13,mantap sob
Rismawan Ode Balla,5,2024-07-29 05:54:25,Game burik
Adonara Lamaholot channel,5,2024-07-28 16:22:35,Bagus dan keren🤩👍
Safira Uzma Handayani,5,2024-07-28 14:17:23,Good
Zahra Khairunnisa,5,2024-07-28 06:04:47,Game nya bagus
ROZI SAPUTRA,5,2024-07-28 03:32:43,Menurut pendapat saya : Gemsy nya Sangat bagus
Suryana Yana,5,2024-07-28 02:39:50,Permainan nya seru banget
Rigal Chy,5,2024-07-27 19:15:36,hardin 0987
Anuf hertya rafa dianata,5,2024-07-27 17:51:35,Update kmtl tambah susah mjg Hd si hd tpi cara control nya dah beda
Balad Dewa,5,2024-07-27 12:46:23,Bagus
Muh Rafli,5,2024-07-27 11:17:29,Game Terbaik👍
Yanti Anjani,5,2024-07-27 05:21:32,Geme apa ini Kaya asli tapi pas di mainin kaya gini masih mendingan FC MOBILE dari pada geme ini 😌 tapi lumayan bagus juga kok 🗿🗿
Roni Rispa,5,2024-07-26 18:27:14,game good👍👍👍
Jissen juliano Parans,1,2024-07-26 13:27:05,Anjg bbi
Inong Alif,5,2024-07-26 08:53:36,Main game ini seru
Nur Mahmudah,5,2024-07-26 06:47:23,Gem nya jelek
Tukel Widi,5,2024-07-25 15:52:35,Wel
Kornelius Kihin,5,2024-07-25 15:46:57,game keren
Ryan Gosling18,5,2024-07-25 13:04:23,"-Lisensi, plis tambahin lisensi nya"
ahmad zaki,5,2024-07-25 09:36:18,"yaaaaaaaa............... .......,"
Desi Hariyani,5,2024-07-25 06:33:51,GW baru beli hp baru tapi bagus kok yang ngeluh hp lu tuh Nokia
keenand ganteng,5,2024-07-25 01:51:02,Bagus game nya
Zaky Tiffany,5,2024-07-24 16:33:09,Ada windah
Yustin Tobuku,5,2024-07-24 15:14:28,Gge
Fofi Dwiyanti,5,2024-07-24 10:30:32,Gut
Hoalandia rexi,5,2024-07-24 09:55:12,👍👍👍
Akhtar Putra,5,2024-07-24 06:55:57,iii seru nyoo
Eri Firmanto,1,2024-07-23 17:59:09,Game lemot
Kanaya Tria,5,2024-07-23 15:50:26,Game bagus👍👍👍👍👍
Iyad Supriyadi,5,2024-07-23 15:40:45,okegaas
Gio Lalak,5,2024-07-23 06:05:15,Sangat bagus
Sugianto Sugi,5,2024-07-22 16:46:24,Oke
Husain Lajon,5,2024-07-22 14:14:45,Lio mesi Akil kiri
ILHAM RAHAYAAN,5,2024-07-22 12:24:26,saya suka sekali dengan game' ini
Syauqi Akbar,5,2024-07-22 08:46:34,Geme ya seru sekali
Dani Imanuel,5,2024-07-22 07:00:59,Sangat menyenangkan
Rohid Nanga,5,2024-07-22 06:52:12,Seru 🔥🔥🔥
Nur Aini123,5,2024-07-21 11:44:03,Kenapa game ini tidak pernah mengeluarkan EUFA euro 2024
Hilman 123,5,2024-07-21 09:36:57,Butut
Aan Supriyadi,5,2024-07-21 08:44:29,Gacorr
Achmad Fauzi Fadhillah,5,2024-07-21 06:23:50,"Plis developer efootball turunin size gamenya aku sebagai pengguna handphone ram 3 ingin mencoba kembali bermain efootball. Sudah tiga tahun aku berhenti main efootball karena hp tidak mendukung. Saran saya sizenya turunin menjadi 1gb / 1,5gb, sisanya didownload di dalam game. Semoga saran saya didengar. PES 2021"
Zikri Wae,5,2024-07-21 01:59:14,Gem ini bagus banget
Yeni farida,5,2024-07-20 12:23:44,jelek banget game nya
ernawati wati,5,2024-07-20 11:44:54,Bagus game nya
Dunia 33,5,2024-07-20 08:48:52,GOOKIILLL
Grace Momongan,5,2024-07-20 07:41:38,Bagus
Fahmi husein,5,2024-07-19 04:34:47,Saya mem butuh kan geme ini
Endang Sutisna,5,2024-07-18 21:44:07,server di batasi trus tolong perbaikan.Klo update mesti hapus aplikasi yg lain .trus dan trus begitu meski memori masih bnyk.tampil kan wasit dan hakim garis saat pertandingan jng wasit kyk hantu tiba2 datang beri kartu pencetak gol dan asist tampilkan setelah pertandingan
Jonatan Jonathan,1,2024-07-18 16:19:04,Gajelas sama game ini
agung g,5,2024-07-18 15:36:00,Karena bagus
