userName,score,at,content
Willy Rindrajaya,1,2024-03-25 17:41:39,Ini kenapa cs nya yang jawab selalu mesin ya.. paylater terblokir tanpa alesan yang jelas dan berulang ulang itu2 aja jawaban cs nya.. tanpa ada penyelesaian..
Musa Taufiqillaharkana,1,2024-03-25 13:25:52,"Sering gagal transaksi topup e-money, saldo terpotong, tapi ketika update saldo saldonya tetap gak bertambah, kejadian sudah terulang 3x semoga segera di update sistemnya dan gak ada kejadian serupa"
Faisal novimen Chandra,1,2024-03-25 12:24:46,"Tarik tunainya susah banget .. gagal terus . Oramg butuh cepet , harys nunggu satu jam buat dana balik . Parah aplikasinya"
Makruful 20795,1,2024-03-25 12:13:23,Yang saya sesal kan uang tranferan ntah kemana .. di hubungi ke cs hanya nunggu waktu Setiba waktu nya.. tapi gak ada kejelasan dan kelanjutan nya.. 100% uang kembali n di layani dengan benar masih nihil Sangat kecewa...
Inoy Wijaya,2,2024-03-25 11:13:51,"Saya mengajukan komplain beberapa kali tidak direspon dengan baik. Saya telah kehilangan saldo beserta Riwayat nya setelah gopay log out sendiri dan saya Log in kembali saldo hilang tinggal Rp. 0,-Saya sudah kirim email bukti dan seluruh yang diminta tapi tidak ada perkembangan."
Achmad Mursyid,5,2024-03-25 11:03:29,"sayang kalo ambil kredit di paylater gopay tidak bisa dilunasi, misal cicilan 12 bulan dapat 1 bulan atau 3 bulan kita mau lunasi gk bisa, kesannya kek bank konvensional kalo mau lunasi hutang bisa tapi kena pinalti..😭"
Dicho Hr.,1,2024-03-25 08:34:17,"Sangat tidak baik aplikasi ini, padahal saldo masih ada, tapi mau transfer tidak bisa, di pemberitahuan kalau saldo sudah digabung ke tabungan, tapi saldo di tabungan 0"
Rucky R Pane,1,2024-03-25 06:57:38,"aplikasi. gak jelas, semua transaksi selalu error, serba error, arik tunai minimum sering error, transfer antar bank error, beli pulsa/ data telkomsel error"
Ajemb Ar,1,2024-03-25 06:29:02,Saya transfer ke bank permata dan status nya terproses terus tdk mau berhasil dan saldo pun sudah terpotong . Sudah menunggu 3x24 jam tpi gak masuk juga dan dan pun tdk dikembalikan. Di tunggu etika baik nya
30_Roshan Daffa Putra Margiyanto,5,2024-03-25 05:56:11,Fee setiap transfer lebih murah dari mobile banking. Paket data dan pulsa juga sering ada potongan harga kalau beli di gopay.
Arif Imam Taufik,1,2024-03-25 04:24:55,"Saya sudah kecewa dengan GoTo Gojek Tokopedia sekarang, ada fasilitas tapi tidak bisa di gunakan buat apa, tanya customer service selalu jawaban nya muter2 sama terus"
Dede Tasik,1,2024-03-25 04:05:47,"Sebenarnya jaminan saldo kembali itu beneran apa cuman nipu doang sih,,saya sudah mengajukannya tanggal 15 tapi masih belum masuk juga uangnya...kalo cuma bohongan lebih baik di hilangkan saja pitur JAMINAN SALDO KEMBALI nya nyesel saya nyimpen duit di GOPAY lebih baik di aplikasi DANA saja."
Azza Zaliyanti,5,2024-03-25 01:45:29,"Baru coba aplikasi ini dn sudah transaksi paket data,,, semoga lancar jaya tidak rewel seperti aplikasi sebelah ya,... sangat membantu 👍🏻"
Ari Widodo,1,2024-03-24 20:57:23,Saya sering terjadi transfet ke BANK beli pulsa scan QR DLL saldo terpotong transferan tidak sampai pada penerima saldo terpotong pulsa tidak kunjung masuk. Masak setiap hari terus minta bantuan udah gitu tunggu 2 hari orang butuh pada hari itu udah gitu nunggu 2 hari mau blum masuk gitu tanya lagi nunggu 2 hari lagi kata mereka. APK reting sebesar gini. Kok ngecewaiin lama lama jadi takut buat isi saldo gopai uang segitu udah sangat besar sama saya. Bagi klian ia itu sedikit.
Kahfiel Ibrahim,1,2024-03-24 19:15:14,"Kenapa saldo saya di gopay belum masuk padahal saya top up dari BCA laporan udah selesei, tapi transfer ke gopay tabungan masih di proses.. sudah 2 hari belum masuk juga"
Ghodam crenz,3,2024-03-24 17:31:44,"To developer GOPAY Kenapa apk gopay setiap jam 22:00 WIB mau transik QRIS atau Tf bank mana pun dan Tf ke ewallet pasti tidak bisa, bacaan nya under maintenance. Masa perbaikan system setiap malam s/d jam 05:00 baru normal kembali. Apk nya sudah bagus sudah terintegrasi semua, tp sayang nya 1 ini selalu under maintenance setiap malam. Tolong jangan under maintenance setiap malam, jika lagi ada keperluan mendesak jadi terhambat, karna giliran lagi mau pembayaran atau transaksi jadi susah."
Djeihan rafly Afrianto,3,2024-03-24 17:24:41,"Tolong rubah tampilan interface nya, agak lag dan terlihat sedikit kuno. Kalah dengan e-wallet lain yang tampilannya lebih modern😂"
