userName,score,at,content
_iOOy_,1,2024-04-24 11:15:21,Fitur terjemahan jepang ke Indonesia tiba-tiba menghilang atau tidak aktif
Richie Osak,5,2024-04-22 07:13:34,Bagus banget
Dee Kings,5,2024-04-22 05:05:32,Sangatt bagus
Laila Riyadh,5,2024-04-22 00:42:47,Nurlaila Riyadh
Putri PS,5,2024-04-21 05:51:51,"Sangat bagus ,💃👍👍🏻"
Satrya Heru,5,2024-04-21 05:42:52,Sangat bagus
Shifa Aqeela,5,2024-04-21 01:21:00,Bagus itu saja saya tidak ingin banyak omong
Iwik Awan,5,2024-04-20 15:49:12,Butut ah aplikasi teh kaos ig uuuu nurutan ug mnh mah
Della Puspita,5,2024-04-20 14:23:23,maa syaa allah baik suka apk ny Syukron
terbit prayogi,5,2024-04-20 13:15:01,Enak berkomunikasi
M Saleh,5,2024-04-20 12:14:21,Sangat bagus
rskyy rhmt,5,2024-04-20 10:47:29,Bagus buanget❤️😍😍
Edi Murtono,5,2024-04-20 08:57:03,semakin bagus aja
Aqila Rahayu,5,2024-04-20 08:09:23,Ranting
Muhamad Abizar,5,2024-04-20 07:34:42,Sangat bagus dah kan
nur hayati,5,2024-04-20 07:04:56,jelek
Tasyaamelita Amelita,5,2024-04-20 05:48:47,Keren
Sri Anjani,5,2024-04-20 03:15:58,Top
Muhammad selfi Muhammad selfi,5,2024-04-19 14:27:33,Ki
Cak Nur,5,2024-04-19 13:28:28,Bagus
Halim Halim (Halim ay),5,2024-04-19 12:58:17,Oke
Muhammad Rendra los,5,2024-04-19 12:57:50,Bagus kak
tulus orang,5,2024-04-19 10:59:26,terimakasih untuk semuanya
aya eweh,5,2024-04-19 08:35:08,Instagram.sangat luar biasa pokonamah mantap
nur Rokis,5,2024-04-19 04:21:41,Instagram bagus 😍👍walaupun gak pake kuota bisa di buat foto pake filter tapi ya kadang foto nya gak bisa di simpen kadang ada tulisan kesalahan terus pas foto nya mau ku simpen lama loading fotonya terus aku tungguin habis itu kok tulisannya vidio di simpan tapi instagram tetap bagus aku rating bintang ⭐⭐⭐⭐⭐ 5
Nana Sutrisna,5,2024-04-19 01:06:13,Hangout menjadi lebih baik 😊😊😊
Satu Orang,1,2024-04-18 23:02:34,Tulisan lagu nya ko hilang mas?
Daffa Cool,5,2024-04-18 22:17:17,nice
Mahira Adam,1,2024-04-18 20:39:28,Kurang profesional
PURNOMO PURNOMO,5,2024-04-18 19:26:52,Mantap.
Zanuar Pratama,1,2024-04-18 15:32:31,🤡🤡🤡
Fatkhil Arzaq,5,2024-04-18 12:59:33,Baik
Iksan Fadil,5,2024-04-18 12:40:48,ini sangat bagus😉😉😊😊
Amah Amah,5,2024-04-18 12:29:29,❤️💔
Muh. Alvhin,5,2024-04-18 12:25:28,Terbagusnya
Bajing Bajinh,5,2024-04-18 11:49:23,Masyaallah aplikasinya bagus banyak vidio vidio menarik deh dalam aplikasi ini dan aku bisa berfoto foto dan aku sangat cantik deh klau pake efek nya padahal aslinya jelek dan selamat lebaran 1445 hijriah idul fitri mohon maaf lahir dan batin
Tandu Sanjaya,5,2024-04-18 11:24:54,Baik Kalau bisa gk pake biaya untuk promosi
Rizal Abu,5,2024-04-18 09:32:57,Pqtah vzahlnmksiub uf
Nerlian Rian,5,2024-04-18 08:41:02,Bagus
Febri. Zz,5,2024-04-18 06:54:18,Aku mau
Kila Sakila,5,2024-04-18 06:38:43,Bagus 💯
Aan Ketoprak222,5,2024-04-18 05:56:49,Mantap
Arvind Kinaan,5,2024-04-18 01:32:09,🥳🥳🥳
Sulistiono Sulis,5,2024-04-17 13:57:26,Mantap!!!!!!!!!!!!!!
Ihsan Miftahul,5,2024-04-17 13:42:07,Mantap kaliiiiii
Agus Rohmat,5,2024-04-17 12:44:00,Bagus banget Instagram nya aku kalo liat Instagram aku WA sama FAREL 🤭🤭
Ahmad Ridwan,5,2024-04-17 12:22:11,Baguss banget apk nya Aku Baru Tau Ada apk yang semirip ini salute dehh pokoknya
Arka Elbana,5,2024-04-17 11:06:31,Bagus
Manda Alung,5,2024-04-17 03:15:07,Bagus
Arya Dwi,5,2024-04-17 01:45:36,Bagus
Fakhri Muhammad fakhri,5,2024-04-17 01:33:26,Baik
Nanang Priyanto,5,2024-04-16 18:13:04,Baik
Ella Vellita,5,2024-04-16 15:27:11,Krn bisa ngeliat sig orang atau pun temen
Muntolib Borsumur,5,2024-04-16 14:56:29,Ok
Selamet Riyono,5,2024-04-16 13:58:25,Bagus
Dani Dani,5,2024-04-16 11:21:47,Kenapa Tidak dapat menemukan lagu lagu terbaru
Zero Bajo,5,2024-04-16 11:15:50,Lambat tapi bagus
Rawati Simanjuntak,5,2024-04-16 11:09:12,Baik
Kiki,5,2024-04-16 06:53:52,Best
mohamad azzam,5,2024-04-16 03:43:18,Seru banget aku lancar aja
Ocha Karyati,5,2024-04-15 22:53:54,Bagus banget video nya menarik
Cahaya Putri,5,2024-04-15 15:28:14,Bisa sel pi sel pi inh bosku
Unyil Paldi,5,2024-04-15 13:39:23,Aflikasi ini sangatlah bagus
Andikabahar 404,5,2024-04-15 11:13:58,makasih
Ati Rahmawati,5,2024-04-15 05:57:42,bagus bjir
Aku Siapa,5,2024-04-15 05:55:43,Ouh
Ingga Wahyu kusuma,5,2024-04-14 21:46:06,bagus bagettt
Budeis Wati,5,2024-04-14 13:23:55,Bagus banget bisa komunikasi sama keluarga yang punya Ig juga trs bisa tau info info
wasifa majda,5,2024-04-14 08:50:56,Baguss banget aku suka sama apli kasi ini 😘
Simpang Kampar,5,2024-04-14 07:35:16,Paling cakep dah 😍😍😍😍😍😍😍😍😍
Untung rahmat Hidayat,5,2024-04-14 06:35:45,Sangat bagus
Fiara Fia,5,2024-04-14 06:05:05,Kenapa tidak bisa mendownload Instagram?
Sofanahidayat,5,2024-04-14 05:13:37,Wokeee
Maharani Dwi putri,5,2024-04-14 01:40:41,Sangat bagus tetapi susah dafatar nya saya suka dengan instagram tetapi suka nyeselinn gk sihh gimana para para tth dan aa
ANDRI YUNIANTO SUPRAYITNO PUTRO ROMO,5,2024-04-14 01:26:56,Lumayan.
