userName,score,at,content
Gharry Fikar,1,2024-03-25 10:53:14,"Permisi untuk pemilihan musuh memang dibuat agar tidak terlalu mudah agar pemain bisa meningkatkan skill, hanya saja untuk pemilihan tim kita tidak seimbang(terlalu jelek?) Jadi sama saja bohong ujung ujungnya skil pemain tidak bisa meningkat karena timnya sendiri"
Ridho Ramadhan,3,2024-03-25 10:31:10,"Gwa kasih 3 krena, gua kalau maen solo mesti dapat tim yang maenya kurang bagus, kalo solo mesti MVP(tapi defeat) , jadi kalau bisa lebih baik lagi kalau ngasih tim yang seimbang kedepannya. Jangan malah ngasih tim o'on musuh nya kompak, susah jadinya ,maen jadi kurang srek, ya bener sih biar maen nya ada tantangan nya, tapi ya jangan terus terus an, bikin maen susah mulu"
Sumi Ati,2,2024-03-25 09:31:00,"Menurut saya akhir akhir ini setelah update jadi banyak bug dan maching yg gk sesuai, sering dpt tim yg main gk bener trus tox*c ,musuh yg main trol tapi menang ,menurut saya itu tidak adil masa dpt tim epik musuh legend kan gk adil, jadi mohon disesuaikan ya pihak monton, bisa saja kalo gini terus para player dari mlbb pindah ke geme lain mohon dipertimbangkan ya:)"
Ace Shiro,1,2024-03-25 07:56:22,"Sistem keseimbangan match buruk amat dah setiap main solo pasti dapat team ampas sedangkan musuh kek pro player, pas party juga sama dikasih team yang tiernya lebihh tinggi dan jago lagi. Udahlah capek nih game kayaknya banyak event doang tapi balance match nya kagak ada yg beres"
Naufal Mustiko,1,2024-03-25 01:46:55,"Halo sobat MOONTON, Kenapa selalu saja seperti ini, game ini hanya menghabiskan kuota saja beli kuota biar naikin rank tapi selalu dapat musuh dan tim yang tidak seimbang dan selalu bermasalah pada jaringan padahal jaringan bagus tp selalu banyak bug dan bisa dibilang sistem update yg tidak memuaskan tolong perbaiki moonton. Lama2 saya bosen main game dari MOONTON dan saya akan keluar dari game ini kalau masih seperti ini, terimakasih."
Dewata,1,2024-03-24 20:02:57,"Tolong perbaiki bug dan jaringannya yang buruk, Update kali ini bikin saya emosi karna saat war gerakannya tidak beraturan dan tiba"" sinyal jadi lag bikin hero saya tidak bisa bergerak, alhasil saya di kill tim lawan Itu sangat merugikan saya saat di mode rank Update kali sungguh buruk dan bikin game jadi berat. Padahal sebelum update semua baik"" saja hingga saya sampai ke rank mytic karena jarangnya ada gangguan system game"
Tedy Maulana,1,2024-03-24 19:54:38,"Semenjak hero baru chip saya sebagai user android mengalami banyak bug dan lag saat bermain, itu terjadi ga sekali dua kali tapi beberapa kali setiap bermain ranked maupun classic..tolong lah di perbaiki bug ini sangat menyusahkan tidak ada tindakan sigap dari pihak moonton"
Mjth ramdani Ramdani,3,2024-03-24 18:39:43,"Gamenya udah bagus, penyimpanan yang digunakan juga yidak terlalu banyak, tapi, saat terjadi tim fhigt sering terjadi bug seperti lag sepertinya bukan masalah jaringan. Mohon segera diperbaiki!.🙏"
OKAYIM JR,1,2024-03-24 17:26:48,"Sperti biasa . Masalah besar adalah keseimbangan team permainan, masak solo mytic 60 point ktmu legend!! dan ping sering jump, bug . Jngan fokus ke fitur dan hero doang yg di upgred tpi masalah yg lain.. Gua akuin klo masalah hero dan skin 4 jmpol tpi yg lain nol.. Semoga di pertimbangkan lgi upgred slanjut ny.."
Fadly Galih,1,2024-03-24 16:55:40,"Developer tolong lah kalok ngasih tim yang sesuai bisa ga sih. Yang jago lawan yang jago yang lemah lawan yang lemah, Gitu Napa sih bukan malah ngasih tim beban atau di campur sama yang boot buat di gendong satu orang . Sekali lagi tolong lah kasih tim yang tau role Hero, item dan yang lainya, lama lama gue males main ni game kalau belum di benerin nih permasalahan"
