userName,score,at,content
araitum 1616,5,2024-09-04 06:32:39,Tidak terjadi eror dan lancar untuk mendaftarkan cpns
Okky Setyawan,1,2024-09-04 06:30:23,Aplikasi ribet
Rahma Fitri,5,2024-09-04 06:30:14,cara masangin e materai nya mudah bangett
Salsabilla Regiyati,5,2024-09-04 06:29:21,aplikasi ini membantu untuk pembelian e meterai dan pembubuhan e meterai lancar
Bedi Putra Zamago,5,2024-09-04 06:18:30,Pembelian e-matrainya aman jadi lancar deh pendaftaran CPNSnya
Palyauma Ramadhan,1,2024-09-04 06:17:42,"Aplikasi gajelas mau beli e-materai, iya saya tau belum bisa beli e-materai tapi gausah di spam juga dong pop up notifnya, iya gw tau belum bisa udah di close masih aja muncul pop up notifikasi itu mulu gajelas banget sumpah aplikasinya #GantiProgramer Cari programer yg lain banyak yg bisa kerja, makanya yg direkrut keeja jangan orang dalam mulu #GantiProgramer"
YAHYA G,1,2024-09-04 06:17:34,hape gak diroot/ stelan developer juga gak aktif tapi masih di blockir gak bisa di buka. ealah
Adhy Faudi,5,2024-09-04 06:17:21,mempermudah banget untuk daftar cpns.. apalagi bisa beli e-materai di apknya jadi sangat membantu
Kaniawati,5,2024-09-04 06:17:05,"Pengaplikasian e-materai jadi aman, Inshaallah daftar CPSN aman, Terimakasih pospay"
Habib Fadillah,1,2024-09-04 06:12:56,"location service disable maksudnya apaan dah, dikira lokasi gua di jakarta jadi Medan perang gitu?"
Bang Erwin,5,2024-09-04 06:11:02,Wahhh keren banget udah ada pembelian e materai jadi gampang banget buat saya dan orang2 yang ingin daftar CPNS
Putra Belitong1,1,2024-09-04 06:06:58,Kok gak bisa masuk ya ? Padahal baru bikin akun. Terus usernamenya salah terus. Solusinya cemana min
Odietya Prayoga,2,2024-09-04 05:58:58,Saya Pakai Redmi note 12 Hyper OS ga bisa menjalankan aplikasi ini saya diminta menggunakan android yang tidak di root padahal ini hape standard. Upgrade ke hyper OS juga legal dari Xiaomi.
